Date,Name,Marcap
1996-02-16,대우중공업,2940625812240.0
1996-02-16,신한은행,2008160000000.0
1996-02-16,엘지전자,1836712052400.0
1996-02-16,현대건설,1830529950000.0
1996-02-16,한국외환은행,1798500000000.0
1996-02-16,조흥은행,1705600000000.0
1996-02-16,데이콤,1666494000000.0
1996-02-16,삼성전관,1629144538900.0
1996-02-16,한일은행,1626800000000.0
1996-02-16,상업은행,1570800000000.0
1996-02-16,유공,1531133500000.0
1996-02-17,한국전력공사,18398304795500.0
1996-02-17,삼성전자,9416214450000.0
1996-02-17,포항종합제철,4948625387000.0
1996-02-17,한국이동통신,3668539520000.0
1996-02-17,대우중공업,2883456902160.0
1996-02-17,신한은행,2008160000000.0
1996-02-17,엘지전자,1922539718400.0
1996-02-17,현대건설,1840292776400.0
1996-02-17,한국외환은행,1798500000000.0
1996-02-17,조흥은행,1722000000000.0
1996-02-17,데이콤,1679616000000.0
1996-02-17,삼성전관,1638059146500.0
1996-02-17,한일은행,1636760000000.0
1996-02-17,상업은행,1572500000000.0
1996-02-17,삼성전자(1우),1555562389600.0
1996-02-21,한국전력공사,18024101986100.0
1996-02-21,삼성전자,9348471900000.0
1996-02-21,포항종합제철,4873503939000.0
1996-02-21,한국이동통신,3674271613000.0
1996-02-21,대우중공업,2912041357200.0
1996-02-21,신한은행,2020480000000.0
1996-02-21,엘지전자,1888208652000.0
1996-02-21,현대건설,1840292776400.0
1996-02-21,한국외환은행,1798500000000.0
1996-02-21,조흥은행,1689200000000.0
1996-02-21,데이콤,1666494000000.0
1996-02-21,삼성전관,1638059146500.0
1996-02-21,한일은행,1621820000000.0
1996-02-21,상업은행,1560600000000.0
1996-02-21,삼성전자(1우),1520543805000.0
1996-02-22,한국전력공사,17805534970500.0
1996-02-22,삼성전자,9483957000000.0
1996-02-22,포항종합제철,4835943215000.0
1996-02-22,한국이동통신,3680003706000.0
1996-02-22,대우중공업,2880181920200.0
1996-02-22,신한은행,2069760000000.0
1996-02-22,엘지전자,1871043118800.0
1996-02-22,현대건설,1840292776400.0
1996-02-22,한국외환은행,1782000000000.0
1996-02-22,조흥은행,1705600000000.0
1996-02-22,데이콤,1666494000000.0
1996-02-22,한일은행,1643400000000.0
1996-02-22,삼성전관,1633601842700.0
1996-02-22,상업은행,1564000000000.0
1996-02-22,삼성전자(1우),1548190056000.0
1996-02-23,한국전력공사,17805534970500.0
1996-02-23,삼성전자,9348471900000.0
1996-02-23,포항종합제철,4798382491000.0
1996-02-23,한국이동통신,3714396264000.0
1996-02-23,대우중공업,2848021079900.0
1996-02-23,신한은행,2069760000000.0
1996-02-23,엘지전자,1862460352200.0
1996-02-23,현대건설,1835411363200.0
1996-02-23,한국외환은행,1765500000000.0
1996-02-23,조흥은행,1689200000000.0
1996-02-23,데이콤,1640250000000.0
1996-02-23,한일은행,1613520000000.0
1996-02-23,삼성전관,1593486108500.0
1996-02-23,상업은행,1555500000000.0
1996-02-23,삼성전자(1우),1524229971800.0
1996-02-24,한국전력공사,17743059409200.0
1996-02-24,삼성전자,9077501700000.0
1996-02-24,포항종합제철,4807772672000.0
1996-02-24,한국이동통신,3708664171000.0
1996-02-24,대우중공업,2819433666300.0
1996-02-24,신한은행,2032800000000.0
1996-02-24,현대건설,1830529950000.0
1996-02-24,엘지전자,1828129285800.0
1996-02-24,한국외환은행,1732500000000.0
1996-02-24,조흥은행,1656400000000.0
1996-02-24,데이콤,1627128000000.0
1996-02-24,한일은행,1593600000000.0
1996-02-24,삼성전관,1568970937600.0
1996-02-24,상업은행,1538500000000.0
1996-02-24,유공,1469888160000.0
1996-02-26,한국전력공사,17680583847900.0
1996-02-26,삼성전자,8704917675000.0
1996-02-26,포항종합제철,4835943215000.0
1996-02-26,한국이동통신,3668539520000.0
1996-02-26,대우중공업,2751538559000.0
1996-02-26,신한은행,2082080000000.0
1996-02-26,현대건설,1825648536800.0
